132,151,282,151,282,176,132,176
289,151,448,151,448,176,289,176
179,181,223,181,223,205,179,205
290,181,322,181,322,205,290,205
327,181,391,181,391,205,327,205
230,183,287,183,287,205,230,205
184,208,250,208,250,230,184,230
254,206,333,210,332,234,252,230
334,209,387,212,386,235,333,232
142,233,176,233,176,253,142,253
174,233,228,233,228,255,174,255
232,233,284,233,284,255,232,255
284,233,331,233,331,253,284,253
329,233,381,233,381,255,329,255
386,233,438,233,438,255,386,255
159,267,206,267,206,289,159,289
212,265,258,271,255,294,209,288
269,267,423,267,423,289,269,289
200,308,258,306,259,332,201,335
262,306,380,308,379,335,261,332
42,348,94,348,94,371,42,371
116,348,203,348,203,371,116,371
300,348,428,348,428,373,300,373
432,348,462,348,462,368,432,368
460,348,490,348,490,369,460,369
492,349,517,349,517,368,492,368
522,351,556,351,556,373,522,373
42,383,132,383,132,405,42,405
152,386,252,386,252,408,152,408
99,413,235,413,235,437,99,437
350,414,435,412,435,437,351,439
485,413,543,413,543,435,485,435
42,413,86,418,83,443,39,438
553,448,585,448,585,470,553,470
99,450,184,450,184,472,99,472
366,450,383,450,383,470,366,470
388,450,418,450,418,472,388,472
492,450,544,450,544,472,492,472
52,452,68,452,68,470,52,470
99,477,228,477,228,501,99,501
233,477,300,477,300,501,233,501
304,477,319,477,319,497,304,497
326,477,430,477,430,501,326,501
553,509,585,509,585,531,553,531
99,511,158,511,158,532,99,532
353,511,383,511,383,532,353,532
388,511,416,511,416,532,388,532
479,511,509,511,509,532,479,532
512,511,544,511,544,532,512,532
55,514,65,514,65,529,55,529
100,536,260,536,260,559,100,559
263,536,403,536,403,559,263,559
406,536,472,536,472,559,406,559
57,574,72,574,72,595,57,595
102,574,161,574,161,601,102,601
324,574,418,574,418,598,324,598
477,574,509,574,509,596,477,596
277,576,292,576,292,595,277,595
514,576,544,576,544,596,514,596
99,606,137,606,137,630,99,630
40,608,94,608,94,630,40,630
514,608,541,608,541,628,514,628
495,611,506,611,506,627,495,627
42,635,150,639,149,666,41,662
156,638,195,638,195,664,156,664
492,638,509,638,509,659,492,659
514,638,544,638,544,660,514,660
208,675,262,675,262,699,208,699
42,677,99,677,99,701,42,701
102,677,203,677,203,701,102,701
477,677,507,677,507,699,477,699
512,677,543,677,543,699,512,699
40,709,110,709,110,733,40,733
512,709,543,709,543,731,512,731
40,739,132,745,130,769,39,764
516,741,543,741,543,761,516,761
40,780,94,780,94,801,40,801
97,779,207,783,206,804,96,800
411,801,462,801,462,822,411,822
469,801,544,801,544,827,469,827
294,805,368,805,368,832,294,832
40,807,102,807,102,830,40,830
201,807,289,807,289,827,201,827
40,840,77,840,77,864,40,864
82,840,119,840,119,864,82,864
302,840,332,840,332,864,302,864
337,840,368,840,368,862,337,862
492,842,539,842,539,862,492,862
40,872,99,872,99,896,40,896
302,872,332,872,332,894,302,894
337,872,368,872,368,894,337,894
492,872,512,872,512,892,492,892
512,872,539,872,539,891,512,891
163,894,226,894,226,934,163,934
18,899,82,899,82,944,18,944
109,901,159,901,159,946,109,946
217,922,303,926,302,952,215,947
311,929,368,929,368,951,311,951
160,957,253,962,251,988,158,983
342,963,420,955,423,983,345,991
258,963,336,963,336,985,258,985
119,996,209,999,208,1024,118,1021
215,998,272,998,272,1022,215,1022
336,998,433,998,433,1022,336,1022
279,1002,329,1002,329,1020,279,1020
